From IP	To IP
41.96.0.0	41.111.255.255
41.200.0.0	41.201.255.255
41.210.64.0	41.210.127.255
41.220.144.0	41.220.159.255
41.221.16.0	41.221.31.255
80.246.0.0	80.246.15.255
80.249.64.0	80.249.79.255
105.96.0.0	105.111.255.255
105.235.128.0	105.235.143.255
129.45.0.0	129.45.127.255
154.121.0.0	154.121.255.255
154.127.96.0	154.127.111.255
154.240.0.0	154.255.255.255
168.253.96.0	168.253.111.255
193.194.64.0	193.194.95.255
196.20.64.0	196.20.127.255
196.32.16.0	196.32.31.255
196.41.224.0	196.41.255.255
197.112.0.0	197.119.255.255
197.140.0.0	197.143.255.255
197.200.0.0	197.207.255.255
213.179.160.0	213.179.191.255
